id,desc,_2020,_2021,_2022,_2023,_2024,_2025
6,sonstige Einzahlungen,456.220000,100.000000,0.000000,0.000000,0.000000,0.000000
8,Einzahlungen aus laufender Verwaltungstätigkeit,456.220000,100.000000,0.000000,0.000000,0.000000,0.000000
12,Transferauszahlungen,495000.000000,495000.000000,510000.000000,510000.000000,510000.000000,510000.000000
13,Sonstige Auszahlungen,3328.740000,100.000000,0.000000,0.000000,0.000000,0.000000
15,Auszahlungen aus laufender Verwaltungstätigkeit,498328.740000,495100.000000,510000.000000,510000.000000,510000.000000,510000.000000
16,Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),-497872.520000,-495000.000000,-510000.000000,-510000.000000,-510000.000000,-510000.000000
17,Investitionstätigkeit - Einzahlungen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,Zuwendungen für Investitonen und Investitionsförderungsmaßnahmen,0.000000,938300.000000,901300.000000,0.000000,0.000000,0.000000
25,Einzahlungen aus Investitionstätigkeit,0.000000,938300.000000,901300.000000,0.000000,0.000000,0.000000
26,Investitionstätigkeit - Auszahlungen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,Baumaßnahmen,0.000000,987700.000000,50000.000000,0.000000,0.000000,0.000000
33,Auszahlungen aus Investitionstätigkeit,0.000000,987700.000000,50000.000000,0.000000,0.000000,0.000000
34,Saldo aus Investitionstätigkeit,0.000000,-49400.000000,851300.000000,0.000000,0.000000,0.000000
