Dezernat/ Fachbereich 4,Budget Bürgerservice,,verantwortlich: Herr Dorff
Produktklasse 1,Zentrale Verwaltung,,verantwortlich: Dezernent I
Produktbereich 1.2,Sicherheit und Ordnung,,zuständig: Frau Korsch
Produktgruppe 1.2.2,Ordnungsangelegenheiten,,Produktart: externes Produkt
Produkt 1.2.2.02,Meldewesen,,Rechtsbindung: Pflichtaufgabe
Beschreibung,,,
Bearbeiten sämtlicher Angelegenheiten des Melde- und Passwesens,,,
Auftrag,,Zielgruppe,
Bundes- und Landesrecht,,"EinwohnerInnen, Behörden und Institutionen sowie alle Dezernate",
Leistung,,,
"-Führen, Auswerten und Bearbeiten des Melderegisters -Datenübermittlung an Dritte -Anträge auf Erteilung von Führungszeugnissen entgegennehmen und weiterleiten -Beglaubigungen von Kopien und",,,
Unterschriften -Angelegenheiten des Lohnsteuerwesen -Angelegenheiten des Ausweis- und Passwesens -Untersuchungsberechtigungsscheine nach dem Jugendarbeitsschutzgesetz ausstellen -Fundsachen,,,
"-Bürgerinfo",,,
