"100 Anschaffungen 150 € bis 1.000 € netto",,,,,,,,
"10 + Einzahlungen aus Investitionszuwendungen","0,00",0,3.000,0,0,0,0
"5.5.1.01/0100.6811000            Einz. a. Zuweisungen f. Investitionen","0,00",0,3.000,0,0,0,0
"u.Investitionsfördermaßnahmen Land",,,,,,,,
"40 - Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen","4.461,16",13.200,8.700,5.000,5.000,5.000,0
"5.5.1.01/0100.7832000            Ausz. f.d. Erw. v. beweg. Vermögensgegenständen","4.461,16",13.200,8.700,5.000,5.000,5.000,0
"v. > 150 bis 1000 € o. UStr.",,,,,,,,
"60 Saldo aus Einzahlungen und Auszahlungen","-4.461,16",-13.200,-5.700,-5.000,-5.000,-5.000,0
"101 Anschaffungen 150 € bis 1.000 € netto Projekt Artenreich und",,,,,,,,
"vielfältig",,,,,,,,
"60 Saldo aus Einzahlungen und Auszahlungen","0,00",0,0,0,0,0,0
"200 Betriebs-und Geschäftsausstattungen",,,,,,,,
"10 + Einzahlungen aus Investitionszuwendungen","0,00",0,3.000,0,0,0,0
"5.5.1.01/0200.6811000            Einz. a. Zuweisungen f. Investitionen","0,00",0,3.000,0,0,0,0
"u.Investitionsfördermaßnahmen Land",,,,,,,,
"40 - Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen","22.405,55",3.500,10.000,3.000,3.000,2.000,0
"5.5.1.01/0200.7831000            Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.","22.405,55",3.500,10.000,3.000,3.000,2.000,0
"von mehr als 1000 Euro ohne UStr.",,,,,,,,
"60 Saldo aus Einzahlungen und Auszahlungen","-22.405,55",-3.500,-7.000,-3.000,-3.000,-2.000,0
"400 Maschinen und techn. Anlagen",,,,,,,,
"40 - Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen","0,00",7.500,32.500,11.500,10.000,0,0
"5.5.1.01/0400.7831000          Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.","0,00",7.500,32.500,11.500,10.000,0,0
"von mehr als 1000 Euro ohne UStr.",,,,,,,,
"60 Saldo aus Einzahlungen und Auszahlungen","0,00",-7.500,-32.500,-11.500,-10.000,0,0
"500 Fahrzeuge",,,,,,,,
"40 - Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen","0,00",65.000,0,0,0,0,0
"5.5.1.01/0500.7831000          Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.","0,00",65.000,0,0,0,0,0
"von mehr als 1000 Euro ohne UStr.",,,,,,,,
"60 Saldo aus Einzahlungen und Auszahlungen","0,00",-65.000,0,0,0,0,0
"1614 Erneuerung Seigerhüttenteich Teichmönch, Aussichtsplattform",,,,,,,,
"60 Saldo aus Einzahlungen und Auszahlungen","0,00",0,0,0,0,0,0
"6666 Bauliche Anlagen des Infrastrukturvermögens",,,,,,,,
"50 - Auszahlungen für Baumaßnahmen","5.744,32",0,0,0,0,0,0
"5.5.1.01/6666.7853000            Auszahlungen für sonstige Baumaßnahmen","5.744,32",0,0,0,0,0,0
"60 Saldo aus Einzahlungen und Auszahlungen",-5.744,32,0,0,0,0,0,0
"8888 mittelfristige Maßnahmen",,,,,,,,
"60 Saldo aus Einzahlungen und Auszahlungen","0,00",0,0,0,0,0,0
