2 + Zuweisungen und allgemeine Umlagen,"22.545,00",28.700,29.000,9.600,3.500,3.500,0
5.5.1.01.6140001 Zuweisungen für laufende Zwecke vom Bund,"13.300,00",25.700,25.000,5.600,0,0,0
5.5.1.01.6147000 Zuschüsse für laufende Zwecke von privaten,"400,00",0,0,0,0,0,0
Unternehmen (Spenden),,,,,,,
5.5.1.01.6148000 Zuschüsse für laufende Zwecke von übrigen,"8.845,00",3.000,4.000,4.000,3.500,3.500,0
Bereichen (Spenden),,,,,,,
4 + öffentlich-rechtliche Leistungsentgelte,"17.262,50",4.000,5.000,5.000,5.000,5.000,0
5.5.1.01.6311000 Verwaltungsgebühren,"2.544,00",2.000,2.000,2.000,2.000,2.000,0
5.5.1.01.6321000 Benutzungsgebühren und ähnliche Entgelte,"14.718,50",2.000,3.000,3.000,3.000,3.000,0
"5 + privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen","32.866,41",15.300,20.500,20.500,20.500,20.500,0
5.5.1.01.6421000 Einzahlungen aus dem Verkauf von Holz,"389,38",300,300,300,300,300,0
5.5.1.01.6461000 Sonstige privatrechtliche Leistungsentgelte,"4.138,33",1.000,1.000,1.000,1.000,1.000,0
5.5.1.01.6480001 Einzahlungen aus Kostenerstattungen vom Bund,"10.366,67",6.000,7.200,7.200,7.200,7.200,0
5.5.1.01.6485000 Einzahl. aus Kostenerstattungen von verbund.,"15.618,05",6.000,10.000,10.000,10.000,10.000,0
"Untern., Sondervermö. und Beteilig.",,,,,,,
5.5.1.01.6488000 Einzahlungen aus Kostenerstattungen von übrigen,"2.353,98",2.000,2.000,2.000,2.000,2.000,0
Bereichen,,,,,,,
8  Einzahlungen aus laufender Verwaltungstätigkeit,"72.673,91",48.000,54.500,35.100,29.000,29.000,0
9Personalauszahlungen,"1.110.850,07",1.076.600,1.240.200,1.265.500,1.291.100,1.317.100,0
5.5.1.01.7012000 Dienstauszahlungen und dgl. an Arbeitnehmer,"882.904,40",853.800,979.300,999.000,1.019.100,1.039.500,0
5.5.1.01.7019000 Dienstauszahlungen und dgl. an sonstige,"12.888,09",9.900,10.200,10.500,10.800,11.100,0
Beschäftigte,,,,,,,
5.5.1.01.7022000 Beiträge zu Versorgungskassen für Arbeitnehmer,"35.629,32",36.200,41.000,41.900,42.800,43.700,0
5.5.1.01.7032000 Beiträge zur gesetzlichen Sozialver.aus,"170.533,90",167.800,197.000,201.100,205.100,209.200,0
DienstAusz und dgl. für Arbeitnehmer,,,,,,,
5.5.1.01.7039000 Beitr. zur gesetzl. Sozialvers. aus,"5.133,02",4.000,8.000,8.200,8.400,8.600,0
DienstAuszahl. und dgl. für sonst. Beschäft.,,,,,,,
"5.5.1.01.7041000 Beihilfen, Unterstützungsleistungen für","3.761,34",4.900,4.700,4.800,4.900,5.000,0
Beschäftigte,,,,,,,
11 + Auszahlungen für Sach- und Dienstleistungen,"288.264,04",369.500,372.400,347.500,296.500,296.500,0
5.5.1.01.7211000 Unterhaltung der Grundstücke und baulichen Anlagen,"549,50",500,500,500,500,500,0
5.5.1.01.7211014 Unterhaltung der Grundstücke und baulichen,"3.411,36",0,0,0,0,0,0
Anlagen-Gebäudemanagement,,,,,,,
5.5.1.01.7221000 Unterhaltung des sonstigen unbeweglichen Vermögens,"95.251,08",151.600,147.200,130.000,80.000,80.000,0
5.5.1.01.7231000 Auszahlungen für Mieten und Pachten,"3.083,75",7.000,6.600,4.000,4.000,4.000,0
5.5.1.01.7232000 Auszahlungen für Leasing,,"0,00",0,6.000,6.000,6.000,6.000,0
5.5.1.01.7241000 Bewirtschaftung der Grundstücke und baulichen,,"35.427,29",48.000,50.000,50.000,50.000,50.000,0
Anlagen,,,,,,,,
5.5.1.01.7251000 Haltung von Fahrzeugen,,"60.243,23",54.000,59.000,59.000,59.000,59.000,0
5.5.1.01.7252000 Erwerb geringwertiger Vermögensgegenstände,,"8.335,10",6.000,7.100,5.000,4.000,4.000,0
5.5.1.01.7255000 Unterhaltung des sonstigen beweglichen Vermögens,,"46.580,88",59.900,55.000,52.000,52.000,52.000,0
5.5.1.01.7261000 Besondere zahlungswirksame Aufwendungen für,,"5.828,22",6.000,6.000,6.000,6.000,6.000,0
Beschäftigte,,,,,,,,
5.5.1.01.7271000 Besondere Verwaltungs- und Betriebsauszahlungen,,"29.553,63",36.500,35.000,35.000,35.000,35.000,0
13 + Sonstige Auszahlungen,,"45.553,33",23.200,109.000,29.000,18.000,16.000,0
5.5.1.01.7411000 Sonstige Personal- und Versorgungsauszahlungen,,"182,20",0,0,0,0,0,0
5.5.1.01.7429000 Sonstige Auszahl. f. d. Inanspruchnahme von,,"0,00",1.000,1.000,1.000,1.000,1.000,0
Rechten u.Diensten (Mitgliedsbeitr.),,,,,,,,
5.5.1.01.7431000 Geschäftsauszahlungen,,"2.251,40",2.500,3.000,3.000,3.000,3.000,0
5.5.1.01.7431300 Auszahlungen für Planungsleistungen,,"25.142,70",10.700,96.000,16.000,5.000,3.000,0
5.5.1.01.7431400 Auszahlungen für Beitragsservice (GEZ),,"489,96",0,0,0,0,0,0
"5.5.1.01.7441000 Steuern, Versicherungen, Schadensfälle",,"10.195,07",0,0,0,0,0,0
5.5.1.01.7456000 Erstatt. f.d. Ausz. v. Dritten aus lfd,,"7.292,00",9.000,9.000,9.000,9.000,9.000,0
Verwaltungstät. an so. öff. Sonderrechn.,,,,,,,,
15  Auszahlungen aus laufender Verwaltungstätigkeit,,"1.444.667,44",1.469.300,1.721.600,1.642.000,1.605.600,1.629.600,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),,"-1.371.993,53",-1.421.300,-1.667.100,-1.606.900,-1.576.600,-1.600.600,0
17 Investitionstätigkeit - Einzahlungen,,"0,00",0,0,0,0,0,0
18Zuwendungen für Investitonen und Investitionsförderungsmaßnahmen,,"0,00",0,6.000,0,0,0,0
5.5.1.01/0100.6811000 Einz. a. Zuweisungen f. Investitionen,,"0,00",0,3.000,0,0,0,0
u.Investitionsfördermaßnahmen Land,,,,,,,,
5.5.1.01/0200.6811000 Einz. a. Zuweisungen f. Investitionen,,"0,00",0,3.000,0,0,0,0
u.Investitionsfördermaßnahmen Land,,,,,,,,
25 Einzahlungen aus Investitionstätigkeit,,"0,00",0,6.000,0,0,0,0
26 Investitionstätigkeit - Auszahlungen,,"0,00",0,0,0,0,0,0
29 + Erwerb von beweglichen Anlagevermögen und immateriellen,,"26.866,71",89.200,51.200,19.500,18.000,7.000,0
Vermögensgegenständen,,,,,,,,
5.5.1.01/0100.7832000 Ausz. f.d. Erw. v. beweg. Vermögensgegenständen,,"4.461,16",13.200,8.700,5.000,5.000,5.000,0
v. > 150  bis 1000 € o. UStr.,,,,,,,,
5.5.1.01/0200.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"22.405,55",3.500,10.000,3.000,3.000,2.000,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
