id,desc,_2020,_2021,_2022,_2023,_2024,_2025
8,Einzahlungen aus laufender Verwaltungstätigkeit,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,Personalauszahlungen,8922.530000,36100.000000,30100.000000,31100.000000,32100.000000,33100.000000
11,Auszahlungen für Sach- und Dienstleistungen,1904.180000,2100.000000,2100.000000,2100.000000,2100.000000,2100.000000
12,Transferauszahlungen,3500.000000,3500.000000,3500.000000,3500.000000,3500.000000,3500.000000
13,Sonstige Auszahlungen,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,Auszahlungen aus laufender Verwaltungstätigkeit,14340.710000,41700.000000,35700.000000,36700.000000,37700.000000,38700.000000
16,Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),-14340.710000,-41700.000000,-35700.000000,-36700.000000,-37700.000000,-38700.000000
17,Investitionstätigkeit - Einzahlungen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,Einzahlungen aus Investitionstätigkeit,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,Investitionstätigkeit - Auszahlungen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,Auszahlungen aus Investitionstätigkeit,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,Saldo aus Investitionstätigkeit,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
