8000 Investitionspauschale,,,,,,,
10 +  Einzahlungen aus Investitionszuwendungen,"1.171.684,00",1.171.100,1.399.900,1.399.900,1.399.900,1.399.900,0
6.1.1.01/8000.6811000 Einz. a. Zuweisungen f. Investitionen,"1.171.684,00",1.171.100,1.399.900,1.399.900,1.399.900,1.399.900,0
u.Investitionsfördermaßnahmen Land,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,"1.171.684,00",1.171.100,1.399.900,1.399.900,1.399.900,1.399.900,0
"",,,,,,,
8001Kommunalpauschale (KIP),,,,,,,
10 +  Einzahlungen aus Investitionszuwendungen,"749.203,00",749.500,419.900,0,0,0,0
6.1.1.01/8001.6811000 Einz. a. Zuweisungen f. Investitionen,"749.203,00",749.500,419.900,0,0,0,0
u.Investitionsfördermaßnahmen Land,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,"749.203,00",749.500,419.900,0,0,0,0
