Dezernat/ Fachbereich 1,Budget Oberbürgermeister,verantwortlich:,Herr Gaffert
Produktklasse 1,Zentrale Verwaltung,verantwortlich:,Personalrat
Produktbereich 1.1,Innere Verwaltung,zuständig:,Herr Sauter
Produktgruppe 1.1.1,Verwaltungssteuerung und -service,Produktart:,externes Produkt
Produkt 1.1.1.05,Personalvertretung,Rechtsbindung:,Pflichtaufgabe
Beschreibung,,,
"Überwachung der Einhaltung von geltenden Rechtsvorschriften, Tarifverträgen und sonstigen Vorschriften, Mitbestimmung im Rahmen der rechtlichen Möglichkeiten",,,
Auftrag,,Zielgruppe,
"Personalvertretungsgesetz LSA; SGB IX, AGG, TVöD",,Dienstkräfte,
Ziele,,,
Wahrnehmung der Interessen der Beschäftigten zu Ihrem Wohle und zum Wohle der Dienststelle,,,
Leistung,,,
"Personalrat -Mitwirkung bei allen Personalentscheidungen, die der  Mitbestimmung unterliegen -",,Beratung der Dienstkräfte in Personalangelegenheiten -,Hilfe bei speziellen Interessen der Dienstkräfte -
Vorbereitung und Durchführung von Personalversammlungen Schwerbehindertenvertretung -,,Förderung der Eingliederung schwerbehinderter Men-schen -Beratung und Unterstützung der schwerbehinderten,
Dienstkräfte in allen Bereichen des Beruf- und Arbeitslebens in der Dienststelle -,Unterstützung der Dienstkräfte bei Anträgen auf Feststellung eines Grades der Behinderung oder bei Anträgen auf,,
Gleichstellung gegenüber den entsprechenden Behörden -,Überwachung der Einhaltung der Vorschriften des SGB IX durch die Dienststelle -,Vorbereitung und Durchführung von Versammlungen der,
schwerbehinderten Dienstkräfte,,,
