id;desc;_2020;_2021;_2022;_2023;_2024;_2025
8;Einzahlungen aus laufender Verwaltungstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9;Personalauszahlungen;84969.770000;86300.000000;90900.000000;89700.000000;91600.000000;93500.000000
11;Auszahlungen für Sach- und Dienstleistungen;563.370000;3700.000000;5200.000000;3700.000000;3700.000000;3700.000000
13;Sonstige Auszahlungen;1248.360000;2400.000000;2400.000000;2400.000000;2400.000000;2400.000000
15;Auszahlungen aus laufender Verwaltungstätigkeit;86781.500000;92400.000000;98500.000000;95800.000000;97700.000000;99600.000000
16;Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15);-86781.500000;-92400.000000;-98500.000000;-95800.000000;-97700.000000;-99600.000000
17;Investitionstätigkeit - Einzahlungen;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
25;Einzahlungen aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
26;Investitionstätigkeit - Auszahlungen;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
33;Auszahlungen aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
34;Saldo aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
