id;desc;_2020;_2021;_2022;_2023;_2024;_2025
7;Zinsen und ähnliche Einzahlungen;41111.070000;277400.000000;277400.000000;277400.000000;277400.000000;277400.000000
8;Einzahlungen aus laufender Verwaltungstätigkeit;41111.070000;277400.000000;277400.000000;277400.000000;277400.000000;277400.000000
12;Transferauszahlungen;260000.000000;320000.000000;0.000000;0.000000;0.000000;0.000000
15;Auszahlungen aus laufender Verwaltungstätigkeit;260000.000000;320000.000000;0.000000;0.000000;0.000000;0.000000
16;Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15);-218888.930000;-42600.000000;277400.000000;277400.000000;277400.000000;277400.000000
17;Investitionstätigkeit - Einzahlungen;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
25;Einzahlungen aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
26;Investitionstätigkeit - Auszahlungen;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
33;Auszahlungen aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
34;Saldo aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
