Dezernat/ Fachbereich 4,Budget Bürgerservice,,verantwortlich: Herr Dorff
Produktklasse 3,Soziales und Jugend,,verantwortlich: Dezernent I
Produktbereich 3.6,"Kinder-, Jugend- und Familienhilfe",,zuständig: Frau Spruth
Produktgruppe 3.6.6,Einrichtungen der Jugendarbeit,,Produktart: externes Produkt
Produkt 3.6.6.01,Einrichtungen der Jugendarbeit,,Rechtsbindung: Freiwillige Aufgabe
Beschreibung,,,
Stadtjugendpflege,,,
Auftrag,,Zielgruppe,
Beschlüsse der politischen Gremien,,Kinder und Jugendliche bis zum 27. Lebensjahr aus dem Stadtgebiet von Wernigerode,
Ziele,,,
Optimierung der Lebensqualität von Kindern und Jugendlichen,,,
Leistung,,,
Offene Kinder- und Jugendarbeit in den Jugendeinrichtungen sowie aufsuchende Jugendsozialarbeit auf der Straße (Streetwork) im Stadtgebiet von Wernigerode mit: -jugendgemäßen Veranstaltungen/Konzerte,,,
"-Jugendarbeit in Sport, Spiel und Geselligkeit -Jugendberatung -außerschulischer Jugendbildung -Beteiligungsprojekten -Erlebnispädagogik -Bewirtschaftung von Jugendeinrichtungen/Skihütte -Skaterplatz",,,
