100 Anschaffungen 150 €  bis 1.000 € netto,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"8.338,17",15.000,15.000,15.000,15.000,15.000,0
1.1.1.11/0100.7832000 Ausz. f.d. Erw. v. beweg. Vermögensgegenständen,,"8.338,17",15.000,15.000,15.000,15.000,15.000,0
v. > 150  bis 1000 € o. UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-8.338,17",-15.000,-15.000,-15.000,-15.000,-15.000,0
"",,,,,,,,
200 Betriebs-und Geschäftsausstattungen,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"43.592,46",7.000,27.000,53.000,50.000,55.000,0
1.1.1.11/0200.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"43.592,46",7.000,27.000,53.000,50.000,55.000,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-43.592,46",-7.000,-27.000,-53.000,-50.000,-55.000,0
"",,,,,,,,
400 Maschinen und techn. Anlagen,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"30.226,00",0,0,0,0,0,0
1.1.1.11/0400.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"30.226,00",0,0,0,0,0,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-30.226,00",0,0,0,0,0,0
"",,,,,,,,
500 Fahrzeuge,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"228.381,73",153.000,32.000,40.000,90.000,75.000,0
1.1.1.11/0500.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"228.381,73",153.000,32.000,40.000,90.000,75.000,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-228.381,73",-153.000,-32.000,-40.000,-90.000,-75.000,0
"",,,,,,,,
6666Bauliche Anlagen des Infrastrukturvermögens,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",0,0,0,0,0,0
