100 Anschaffungen 150 €  bis 1.000 € netto,,,,,,,,
10 +  Einzahlungen aus Investitionszuwendungen,,"666,48",0,0,0,0,0,0
3.6.5.02.08/0100.6817000 Einz. a. Zuschüssen f. Investitionen,,"666,48",0,0,0,0,0,0
u.Invest.fördermaßnahmen priv.Unternehmen,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"1.990,24",0,1.800,0,2.700,2.200,0
3.6.5.02.08/0100.7832000 Ausz. f.d. Erw. v. beweg. Vermögensgegenständen,,"1.990,24",0,1.800,0,2.700,2.200,0
v. > 150  bis 1000 € o. UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-1.323,76",0,-1.800,0,-2.700,-2.200,0
"",,,,,,,,
200 Betriebs-und Geschäftsausstattungen,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"1.259,34",0,2.300,5.500,0,2.200,0
3.6.5.02.08/0200.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"1.259,34",0,2.300,5.500,0,2.200,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-1.259,34",0,-2.300,-5.500,0,-2.200,0
"",,,,,,,,
300 Betriebsvorrichtungen,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",0,0,0,0,0,0
