"2 + Zuweisungen und allgemeine Umlagen","10.776,37",2.100,8.000,2.000,800,800,0"
"3.1.5.01.6142000                  Zuweisungen für laufende Zwecke von Gemeinden und","885,00",600,800,800,800,800,0"
"Gemeindeverbänden",,,,,,,
"3.1.5.01.6144000                  Zuweisungen für laufende Zwecke von gesetzlichen","9.851,37",1.500,7.200,1.200,0,0,0"
"Sozialversicherungen(Koba)",,,,,,,
"3.1.5.01.6148000                  Zuschüsse für laufende Zwecke von übrigen ","40,00",0,0,0,0,0,0"
"Bereichen (Spenden)",,,,,,,
"4 + öffentlich-rechtliche Leistungsentgelte","1.023,95",3.300,3.300,1.700,3.300,1.700,0"
"3.1.5.01.6321000                  Benutzungsgebühren und ähnliche Entgelte","1.023,95",3.300,3.300,1.700,3.300,1.700,0"
"5 + privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen","3.280,25",0,0,0,0,0,0"
"3.1.5.01.6484000                  Einzahlungen aus Kostenerstattungen von","3.280,25",0,0,0,0,0,0"
"gesetzlichen Sozialversicherungen",,,,,,,
"8 Einzahlungen aus laufender Verwaltungstätigkeit ","15.080,57",5.400,11.300,3.700,4.100,2.500,0"
"9    Personalauszahlungen","73.096,78",60.800,82.300,84.300,86.500,88.600,0"
"3.1.5.01.7012000                  Dienstauszahlungen und dgl. an Arbeitnehmer","46.611,66",46.500,52.600,53.600,54.800,55.900,0"
"3.1.5.01.7019000                  Dienstauszahlungen und dgl. an sonstige ","12.920,39",2.100,13.300,13.600,13.900,14.200,0"
"Beschäftigte",,,,,,,
"3.1.5.01.7022000                  Beiträge zu Versorgungskassen für Arbeitnehmer","2.081,74",2.100,2.200,2.300,2.400,2.500,0"
"3.1.5.01.7029000                  Beiträge zu Versorgungskassen für sonstige","492,18",100,600,700,800,900,0"
"Beschäftigte",,,,,,,
"3.1.5.01.7032000                  Beiträge zur gesetzlichen Sozialver.aus","8.534,11",9.200,10.500,10.800,11.100,11.400,0"
"DienstAusz und dgl. für Arbeitnehmer",,,,,,,
"3.1.5.01.7039000                  Beitr. zur gesetzl. Sozialvers. aus ","2.237,90",500,2.700,2.800,2.900,3.000,0"
"DienstAuszahl. und dgl. für sonst. Beschäft.",,,,,,,
"3.1.5.01.7041000                  Beihilfen, Unterstützungsleistungen für","218,80",300,400,500,600,700,0"
"Beschäftigte",,,,,,,
"11 + Auszahlungen für Sach- und Dienstleistungen","10.260,23",23.400,29.000,43.200,26.200,40.200,0"
"3.1.5.01.7211014                  Unterhaltung der Grundstücke und baulichen ","6.695,33",0,0,20.000,0,20.000,0"
"Anlagen-Gebäudemanagement",,,,,,,
"3.1.5.01.7241000                  Bewirtschaftung der Grundstücke und baulichen ","222,23",8.200,8.500,8.700,8.700,8.700,0"
"Anlagen",,,,,,,
"3.1.5.01.7252000                  Erwerb geringwertiger Vermögensgegenstände","172,87",300,300,300,300,300,0"
"3.1.5.01.7255000                  Unterhaltung des sonstigen beweglichen Vermögens ","0,00",400,3.700,3.700,700,700,0"
"3.1.5.01.7271000                  Besondere Verwaltungs- und Betriebsauszahlungen","3.169,80",14.500,16.500,10.500,16.500,10.500,0"
"12 + Transferauszahlungen","49.500,00",49.500,49.500,49.500,49.500,49.500,0"
3.1.5.01.7318000 Zuschüsse an übrige Bereiche,,"49.500,00",49.500,49.500,49.500,49.500,49.500,0
13 + Sonstige Auszahlungen,,"3.875,75",3.900,3.900,3.900,3.900,3.900,0
3.1.5.01.7411000 Sonstige Personal- und Versorgungsauszahlungen,,"25,95",0,0,0,0,0,0
3.1.5.01.7421000 Auszahlungen für ehrenamtliche und sonstige,,"2.900,00",3.500,3.500,3.500,3.500,3.500,0
Tätigkeit,,,,,,,,
3.1.5.01.7431000 Geschäftsauszahlungen,,"414,33",400,400,400,400,400,0
3.1.5.01.7431400 Auszahlungen für Beitragsservice (GEZ),,"139,92",0,0,0,0,0,0
"3.1.5.01.7441000 Steuern, Versicherungen, Schadensfälle",,"395,55",0,0,0,0,0,0
15  Auszahlungen aus laufender Verwaltungstätigkeit,,"136.732,76",137.600,164.700,180.900,166.100,182.200,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),,"-121.652,19",-132.200,-153.400,-177.200,-162.000,-179.700,0
17 Investitionstätigkeit - Einzahlungen,,"0,00",0,0,0,0,0,0
25 Einzahlungen aus Investitionstätigkeit,,"0,00",0,0,0,0,0,0
26 Investitionstätigkeit - Auszahlungen,,"0,00",0,0,0,0,0,0
29 + Erwerb von beweglichen Anlagevermögen und immateriellen,,"0,00",800,1.100,800,800,3.500,0
Vermögensgegenständen,,,,,,,,
3.1.5.01/0100.7832000 Ausz. f.d. Erw. v. beweg. Vermögensgegenständen,,"0,00",800,1.100,800,800,3.500,0
v. > 150  bis 1000 € o. UStr.,,,,,,,,
33 Auszahlungen aus Investitionstätigkeit,,"0,00",800,1.100,800,800,3.500,0
34 Saldo aus Investitionstätigkeit,,"0,00",-800,-1.100,-800,-800,-3.500,0
