2 + Zuweisungen und allgemeine Umlagen,"7.004.694,41",7.113.200,6.648.800,6.712.600,6.923.100,7.154.500,0
4 + öffentlich-rechtliche Leistungsentgelte,"3.793.272,45",5.647.100,4.956.300,5.225.000,5.287.200,5.324.500,0
"5 + privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen","1.503.456,14",1.094.300,1.478.100,1.501.100,1.512.400,1.522.200,0
6 + sonstige Einzahlungen,"484.734,38",647.100,492.800,492.800,492.800,492.800,0
8  Einzahlungen aus laufender Verwaltungstätigkeit,"12.786.157,38",14.501.700,13.576.000,13.931.500,14.215.500,14.494.000,0
9Personalauszahlungen,"18.388.839,09",18.453.100,19.815.800,20.129.200,20.305.400,20.610.500,0
11 + Auszahlungen für Sach- und Dienstleistungen,"3.898.588,31",3.947.500,4.256.800,4.407.400,4.386.200,4.324.400,0
12 + Transferauszahlungen,"1.851.140,76",2.380.600,2.637.800,2.481.300,2.537.300,2.642.300,0
13 + Sonstige Auszahlungen,"723.490,84",844.200,648.600,657.600,656.100,681.100,0
14 + Zinsen und ähnliche Auszahlungen,"131.336,90",0,0,0,0,0,0
15  Auszahlungen aus laufender Verwaltungstätigkeit,"24.993.395,90",25.625.400,27.359.000,27.675.500,27.885.000,28.258.300,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),"-12.207.238,52",-11.123.700,-13.783.000,-13.744.000,-13.669.500,-13.764.300,0
17 Investitionstätigkeit - Einzahlungen,"0,00",0,0,0,0,0,0
18Zuwendungen für Investitonen und Investitionsförderungsmaßnahmen,"38.083,09",767.400,2.312.800,569.000,254.000,254.000,0
20 + Veräußerung von beweglichem Anlagevermögen und immateriellen,"3.054,45",0,0,0,0,0,0
Vermögensgegenständen,,,,,,,
22 + Baumaßnahmen,"4.281,71",0,0,0,0,0,0
24 + sonstige Investitionseinzahlungen,"0,00",20.400,14.400,0,0,0,0
25 Einzahlungen aus Investitionstätigkeit,"45.419,25",787.800,2.327.200,569.000,254.000,254.000,0
26 Investitionstätigkeit - Auszahlungen,"0,00",0,0,0,0,0,0
29 + Erwerb von beweglichen Anlagevermögen und immateriellen,"716.504,20",626.000,1.290.500,1.402.300,1.309.000,694.300,483.000
Vermögensgegenständen,,,,,,,
31 + Baumaßnahmen,"3.614.267,95",2.115.700,3.678.400,2.055.000,855.000,955.000,0
33 Auszahlungen aus Investitionstätigkeit,"4.330.772,15",2.741.700,4.968.900,3.457.300,2.164.000,1.649.300,483.000
34 Saldo aus Investitionstätigkeit,"-4.285.352,90",-1.953.900,-2.641.700,-2.888.300,-1.910.000,-1.395.300,-483.000
