Dezernat/ Fachbereich 4,Budget Bürgerservice,,verantwortlich: Herr Dorff
Produktklasse 1,Zentrale Verwaltung,,verantwortlich: Dezernent I
Produktbereich 1.2,Sicherheit und Ordnung,,zuständig: Frau Hartmann
Produktgruppe 1.2.2,Ordnungsangelegenheiten,,Produktart: externes Produkt
Produkt 1.2.2.03,Standesamt,,Rechtsbindung: Pflichtaufgabe
Beschreibung,,,
Personenstandsangelegenheiten,,,
Auftrag,,Zielgruppe,
Bundes- und Landesrecht,,"EinwohnerInnen, Behörden und Institutionen sowie alle Dezernate, Anzeigende und Antragsteller",
Ziele,,,
Persönlicher und individueller Service,,,
Leistung,,,
"-Beurkundung von Personenstandsfällen -Fortführung der Personenstandsbücher -Vorbereitung und Durchführung von Eheschließungen/Lebenspartnerschaften -Namensrechtliche Angelegenheiten -Beurkundung",,,
und Beglaubigung von abgegebenen Erklärungen -Kirchenaustritte -Auskünfte an Berechtigte erteilen -Staatsangehörigkeitsangelegenheiten,,,
