"4 + öffentlich-rechtliche Leistungsentgelte","8.780,00",12.000,10.000,10.000,10.000,10.000,0"
"3.1.5.04.6321000                  Benutzungsgebühren und ähnliche Entgelte ","8.780,00",12.000,10.000,10.000,10.000,10.000,0"
"5 + privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen","41.538,13",36.000,39.500,39.500,39.500,39.500,0"
"3.1.5.04.6461000                  Sonstige privatrechtliche Leistungsentgelte ","2.320,00",0,0,0,0,0,0"
"3.1.5.04.6486000                  Einzahlungen aus Kostenerstattungen von sonstigen  ","39.218,13",36.000,39.500,39.500,39.500,39.500,0"
"öffentlichen Sonderrechnungen",,,,,,,
"8 Einzahlungen aus laufender Verwaltungstätigkeit","50.318,13",48.000,49.500,49.500,49.500,49.500,0"
"9    Personalauszahlungen","44.162,24",36.900,38.600,39.600,40.700,41.800,0"
"3.1.5.04.7012000                  Dienstauszahlungen und dgl. an Arbeitnehmer ","37.997,80",29.600,30.900,31.500,32.200,32.900,0"
"3.1.5.04.7022000                  Beiträge zu Versorgungskassen für Arbeitnehmer  ","1.387,03",1.300,1.300,1.400,1.500,1.600,0"
"3.1.5.04.7032000                  Beiträge zur gesetzlichen Sozialver.aus ","4.613,22",5.800,6.200,6.400,6.600,6.800,0"
"DienstAusz und dgl. für Arbeitnehmer",,,,,,,
"3.1.5.04.7041000                  Beihilfen, Unterstützungsleistungen für ","164,19",200,200,300,400,500,0"
"Beschäftigte",,,,,,,
"11 + Auszahlungen für Sach- und Dienstleistungen","24.247,87",80.000,63.600,63.800,63.800,63.800,0"
"3.1.5.04.7211014                  Unterhaltung der Grundstücke und baulichen","22.652,39",6.000,0,0,0,0,0"
"Anlagen-Gebäudemanagement",,,,,,,
"3.1.5.04.7231000                  Auszahlungen für Mieten und Pachten","0,00",6.100,6.100,6.300,6.300,6.300,0"
"3.1.5.04.7241000                  Bewirtschaftung der Grundstücke und baulichen","438,99",66.200,55.900,55.900,55.900,55.900,0"
"Anlagen",,,,,,,
"3.1.5.04.7252000                  Erwerb geringwertiger Vermögensgegenstände ","758,69",900,800,800,800,800,0"
"3.1.5.04.7255000                  Unterhaltung des sonstigen beweglichen Vermögens ","195,04",500,500,500,500,500,0"
"3.1.5.04.7271000                  Besondere Verwaltungs- und Betriebsauszahlungen ","202,76",300,300,300,300,300,0"
"13 + Sonstige Auszahlungen","1.268,87",400,400,400,400,400,0"
"3.1.5.04.7411000                  Sonstige Personal- und Versorgungsauszahlungen","245,93",0,0,0,0,0,0"
"3.1.5.04.7431000                  Geschäftsauszahlungen ","361,27",400,400,400,400,400,0"
"3.1.5.04.7456000                  Erstatt. f.d. Ausz. v. Dritten aus lfd","661,67",0,0,0,0,0,0"
"Verwaltungstät. an so. öff. Sonderrechn.",,,,,,,
"15 Auszahlungen aus laufender Verwaltungstätigkeit ","69.678,98",117.300,102.600,103.800,104.900,106.000,0"
"16 Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15) ","-19.360,85",-69.300,-53.100,-54.300,-55.400,-56.500,0"
"17 Investitionstätigkeit - Einzahlungen","0,00",0,0,0,0,0,0"
"18 Zuwendungen für Investitonen und Investitionsförderungsmaßnahmen ","500,00",0,0,0,0,0,0"
"3.1.5.04/0100.6817000             Einz. a. Zuschüssen f. Investitionen","500,00",0,0,0,0,0,0"
"u.Invest.fördermaßnahmen priv.Unternehmen",,,,,,,
25 Einzahlungen aus Investitionstätigkeit,"500,00",0,0,0,0,0,0
26 Investitionstätigkeit - Auszahlungen,"0,00",0,0,0,0,0,0
29 + Erwerb von beweglichen Anlagevermögen und immateriellen,"457,17",500,1.100,600,600,600,0
Vermögensgegenständen,,,,,,,
3.1.5.04/0100.7832000 Ausz. f.d. Erw. v. beweg. Vermögensgegenständen,"457,17",500,1.100,600,600,600,0
v. > 150  bis 1000 € o. UStr.,,,,,,,
33 Auszahlungen aus Investitionstätigkeit,"457,17",500,1.100,600,600,600,0
34 Saldo aus Investitionstätigkeit,"42,83",-500,-1.100,-600,-600,-600,0
