Dezernat/ Fachbereich 4,Budget Bürgerservice,,verantwortlich: Herr Dorff
Produktklasse 3,Soziales und Jugend,,verantwortlich: Dezernent I
Produktbereich 3.1,Sozialhilfe und soziale Leistungen,,zuständig: Frau Otto
Produktgruppe 3.1.5,Soziale Einrichtungen,,Produktart: externes Produkt
Produkt 3.1.5.04,Übergangswohnheim,,Rechtsbindung: Pflicht-und Freiwillige Aufgabe
Beschreibung,,,
"Übergangswohnheim",,,
Auftrag,,Zielgruppe,
"Bundes-, Landes- und Ortsrecht, Beschlüsse der politischen Gremient",,wohnungslose Wernigeröder Bürger und obdachlose Durchreisende,
Ziele,,,
Schutz des gesicherten Daseins und Erhaltung der Lebensqualität,,,
Leistung,,,
"- Schutz für Leib und Leben wohnungsloser wernigeröder Bürger und obdachloser Durchreisender - sozialpädagogische Einzelfallhilfen - Mitwirkung in Netzwerken - Zusammenarbeit mit anderen Behörden - Bau,",,,
Unterhaltung und Bewirtschaftung des Übergangswohnheimes,,,
