8  Einzahlungen aus laufender Verwaltungstätigkeit,"0,00",0,0,0,0,0,0
11 + Auszahlungen für Sach- und Dienstleistungen,"0,00",0,7.000,0,0,0,0
1.1.1.08.7231000 Auszahlungen für Mieten und Pachten,"0,00",0,7.000,0,0,0,0
12 + Transferauszahlungen,"1.200,00",3.000,1.200,1.200,10.000,3.000,0
1.1.1.08.7318000 Zuschüsse an übrige Bereiche,"1.200,00",3.000,1.200,1.200,10.000,3.000,0
13 + Sonstige Auszahlungen,"110.012,76",134.000,134.000,134.000,134.000,134.000,0
1.1.1.08.7421000 Auszahlungen für ehrenamtliche und sonstige Tätigkeit,"100.829,00",115.000,115.000,115.000,115.000,115.000,0
1.1.1.08.7431200 Auszahlungen für Honorare,"3.796,84",7.000,7.000,7.000,7.000,7.000,0
1.1.1.08.7492000 Fraktionszuwendungen,"5.386,92",12.000,12.000,12.000,12.000,12.000,0
15  Auszahlungen aus laufender Verwaltungstätigkeit,"111.212,76",137.000,142.200,135.200,144.000,137.000,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),"-111.212,76",-137.000,-142.200,-135.200,-144.000,-137.000,0
17 Investitionstätigkeit - Einzahlungen,"0,00",0,0,0,0,0,0
25 Einzahlungen aus Investitionstätigkeit,"0,00",0,0,0,0,0,0
26 Investitionstätigkeit - Auszahlungen,"0,00",0,0,0,0,0,0
33 Auszahlungen aus Investitionstätigkeit,"0,00",0,0,0,0,0,0
34 Saldo aus Investitionstätigkeit,"0,00",0,0,0,0,0,0
