100 Anschaffungen 150 €  bis 1.000 € netto,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"8.234,01",0,29.000,1.500,0,0,0
5.7.5.04/0100.7832000 Ausz. f.d. Erw. v. beweg. Vermögensgegenständen,,"8.234,01",0,29.000,1.500,0,0,0
v. > 150  bis 1000 € o. UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-8.234,01",0,-29.000,-1.500,0,0,0
"",,,,,,,,
200 Betriebs-und Geschäftsausstattungen,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"7.405,00",90.000,10.000,20.000,0,0,0
5.7.5.04/0200.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"7.405,00",90.000,10.000,20.000,0,0,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-7.405,00",-90.000,-10.000,-20.000,0,0,0
"",,,,,,,,
300 Betriebsvorrichtungen,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",0,0,0,0,0,0
"",,,,,,,,
400 Maschinen und techn. Anlagen,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"0,00",0,5.000,0,0,0,0
5.7.5.04/0400.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"0,00",0,5.000,0,0,0,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",0,-5.000,0,0,0,0
"",,,,,,,,
1617Lärmschutzwand SFA,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",0,0,0,0,0,0
