6 + sonstige Einzahlungen,,"456,22",100,0,0,0,0,0
5.5.1.02.6521200 Einnahmen Mehrwertsteuer 19%,,"268,37",100,0,0,0,0,0
5.5.1.02.6521300 Erstattungen Vorsteuer,,"187,85",0,0,0,0,0,0
8  Einzahlungen aus laufender Verwaltungstätigkeit,,"456,22",100,0,0,0,0,0
12 + Transferauszahlungen,,"495.000,00",495.000,510.000,510.000,510.000,510.000,0
"5.5.1.02.7315000 Zuschüsse an verbundene Unternehmen,",,"495.000,00",495.000,510.000,510.000,510.000,510.000,0
Sondervermögen und Beteiligungen,,,,,,,,
13 + Sonstige Auszahlungen,,"3.328,74",100,0,0,0,0,0
5.5.1.02.7441300 Abführung Mehrwertsteuer,,"3.328,74",100,0,0,0,0,0
15  Auszahlungen aus laufender Verwaltungstätigkeit,,"498.328,74",495.100,510.000,510.000,510.000,510.000,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),,"-497.872,52",-495.000,-510.000,-510.000,-510.000,-510.000,0
17 Investitionstätigkeit - Einzahlungen,,"0,00",0,0,0,0,0,0
18Zuwendungen für Investitonen und Investitionsförderungsmaßnahmen,,"0,00",938.300,901.300,0,0,0,0
5.5.1.02/1615.6811000 Einz. a. Zuweisungen f. Investitionen,,"0,00",938.300,901.300,0,0,0,0
u.Investitionsfördermaßnahmen Land,,,,,,,,
25 Einzahlungen aus Investitionstätigkeit,,"0,00",938.300,901.300,0,0,0,0
26 Investitionstätigkeit - Auszahlungen,,"0,00",0,0,0,0,0,0
31 + Baumaßnahmen,,"0,00",987.700,50.000,0,0,0,0
5.5.1.02/1615.7851000 Auszahlungen für Hochbaumaßnahmen,,"0,00",987.700,50.000,0,0,0,0
33 Auszahlungen aus Investitionstätigkeit,,"0,00",987.700,50.000,0,0,0,0
34 Saldo aus Investitionstätigkeit,,"0,00",-49.400,851.300,0,0,0,0
