id;desc;_2020;_2021;_2022;_2023;_2024;_2025
8;Einzahlungen aus laufender Verwaltungstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9;Personalauszahlungen;0.000000;163200.000000;153500.000000;147300.000000;150300.000000;153700.000000
12;Transferauszahlungen;0.000000;500.000000;0.000000;0.000000;0.000000;0.000000
13;Sonstige Auszahlungen;0.000000;300500.000000;280500.000000;285500.000000;285500.000000;290500.000000
15;Auszahlungen aus laufender Verwaltungstätigkeit;0.000000;464200.000000;434000.000000;432800.000000;435800.000000;444200.000000
16;Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15);0.000000;-464200.000000;-434000.000000;-432800.000000;-435800.000000;-444200.000000
17;Investitionstätigkeit - Einzahlungen;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
25;Einzahlungen aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
26;Investitionstätigkeit - Auszahlungen;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
33;Auszahlungen aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
34;Saldo aus Investitionstätigkeit;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
