id,desc,_2020,_2021,_2022,_2023,_2024,_2025
5,"privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen",21496.210000,3300.000000,700.000000,700.000000,700.000000,700.000000
7,Zinsen und ähnliche Einzahlungen,436.380000,0.000000,0.000000,0.000000,0.000000,0.000000
8,Einzahlungen aus laufender Verwaltungstätigkeit,21932.590000,3300.000000,700.000000,700.000000,700.000000,700.000000
9,Personalauszahlungen,983985.300000,1032600.000000,1092800.000000,1114900.000000,1137400.000000,1160300.000000
11,Auszahlungen für Sach- und Dienstleistungen,452759.020000,593100.000000,573400.000000,529900.000000,531400.000000,571400.000000
13,Sonstige Auszahlungen,238763.920000,312200.000000,313000.000000,300500.000000,301000.000000,301500.000000
15,Auszahlungen aus laufender Verwaltungstätigkeit,1675508.240000,1937900.000000,1979200.000000,1945300.000000,1969800.000000,2033200.000000
16,Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),-1653575.650000,-1934600.000000,-1978500.000000,-1944600.000000,-1969100.000000,-2032500.000000
17,Investitionstätigkeit - Einzahlungen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,Zuwendungen für Investitonen und Investitionsförderungsmaßnahmen,1733.630000,0.000000,0.000000,0.000000,0.000000,0.000000
20,Veräußerung von beweglichem Anlagevermögen und immateriellen Vermögensgegenständen,5445.000000,2000.000000,0.000000,0.000000,0.000000,0.000000
25,Einzahlungen aus Investitionstätigkeit,7178.630000,2000.000000,0.000000,0.000000,0.000000,0.000000
26,Investitionstätigkeit - Auszahlungen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,Erwerb von beweglichen Anlagevermögen und immateriellen Vermögensgegenständen,172756.060000,301300.000000,283000.000000,641000.000000,291000.000000,291000.000000
33,Auszahlungen aus Investitionstätigkeit,172756.060000,301300.000000,283000.000000,641000.000000,291000.000000,291000.000000
34,Saldo aus Investitionstätigkeit,-165577.430000,-299300.000000,-283000.000000,-641000.000000,-291000.000000,-291000.000000
