7 + Zinsen und ähnliche Einzahlungen,"2.999.997,00",3.600.000,3.600.000,3.900.000,4.000.000,4.000.000,0
5.3.5.01.6651000 Einzahlungen von Gewinnanteilen aus verbundenen,"2.999.997,00",3.600.000,3.600.000,3.900.000,4.000.000,4.000.000,0
Unternehmen und Beteiligungen,,,,,,,
8  Einzahlungen aus laufender Verwaltungstätigkeit,"2.999.997,00",3.600.000,3.600.000,3.900.000,4.000.000,4.000.000,0
15  Auszahlungen aus laufender Verwaltungstätigkeit,"0,00",0,0,0,0,0,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),"2.999.997,00",3.600.000,3.600.000,3.900.000,4.000.000,4.000.000,0
17 Investitionstätigkeit - Einzahlungen,"0,00",0,0,0,0,0,0
25 Einzahlungen aus Investitionstätigkeit,"0,00",0,0,0,0,0,0
26 Investitionstätigkeit - Auszahlungen,"0,00",0,0,0,0,0,0
33 Auszahlungen aus Investitionstätigkeit,"0,00",0,0,0,0,0,0
34 Saldo aus Investitionstätigkeit,"0,00",0,0,0,0,0,0
